"","X","polyname","RUCC","County","VAM","year","state","state.low","county.low","fips","colorID","color"
"10130",10130,"ohio,fairfield",4,"Fairfield County",921,1958,"Ohio","ohio","fairfield county",39045,14,"#2A08FB"
"10131",10131,"ohio,fairfield",4,"Fairfield County",823,1954,"Ohio","ohio","fairfield county",39045,13,"#3F0CF9"
"10132",10132,"ohio,fairfield",6,"Fairfield County",209,1929,"Ohio","ohio","fairfield county",39045,4,"#D90C60"
"10133",10133,"ohio,fairfield",4,"Fairfield County",470,1947,"Ohio","ohio","fairfield county",39045,7,"#B319C0"
"10134",10134,"ohio,fayette",6,"Fayette County",445,1958,"Ohio","ohio","fayette county",39047,7,"#B319C0"
"10135",10135,"ohio,fayette",6,"Fayette County",74,1929,"Ohio","ohio","fayette county",39047,2,"#F20420"
"10136",10136,"ohio,fayette",6,"Fayette County",165,1947,"Ohio","ohio","fayette county",39047,3,"#E50840"
"10137",10137,"ohio,fayette",6,"Fayette County",977,1963,"Ohio","ohio","fayette county",39047,15,"#1504FD"
"10138",10138,"ohio,fayette",6,"Fayette County",339,1954,"Ohio","ohio","fayette county",39047,5,"#CC1180"
"10139",10139,"ohio,franklin",2,"Franklin County",NA,1963,"Ohio","ohio","franklin county",39049,NA,NA
"10140",10140,"ohio,franklin",2,"Franklin County",335,1929,"Ohio","ohio","franklin county",39049,5,"#CC1180"
"10141",10141,"ohio,franklin",2,"Franklin County",912,1958,"Ohio","ohio","franklin county",39049,14,"#2A08FB"
"10142",10142,"ohio,franklin",2,"Franklin County",NA,1954,"Ohio","ohio","franklin county",39049,NA,NA
"10143",10143,"ohio,franklin",2,"Franklin County",552,1947,"Ohio","ohio","franklin county",39049,9,"#951DF1"
"10144",10144,"ohio,fulton",6,"Fulton County",568,1954,"Ohio","ohio","fulton county",39051,9,"#951DF1"
"10145",10145,"ohio,fulton",6,"Fulton County",87,1929,"Ohio","ohio","fulton county",39051,2,"#F20420"
"10146",10146,"ohio,fulton",6,"Fulton County",NA,1963,"Ohio","ohio","fulton county",39051,NA,NA
"10147",10147,"ohio,fulton",6,"Fulton County",337,1947,"Ohio","ohio","fulton county",39051,5,"#CC1180"
